,date,provinceNo,PM25,O3,CO,cluster
509,8/11/2020,24,32.45833333,96,360,0
510,8/11/2020,27,36.29166667,110,340,0
511,8/11/2020,33,19.41666667,92,400,0
512,8/11/2020,34,26.375,100,740,2
513,8/11/2020,35,26.125,105,520,0
514,8/11/2020,36,34.25,123,430,0
515,8/11/2020,41,28.775,99,420,0
516,8/11/2020,43,36.45833333,157,950,2
517,8/11/2020,47,37.25,102,350,0
518,8/11/2020,49,18.41666667,95,460,0
519,8/11/2020,52,36.26666667,25,330,1
520,8/11/2020,53,29.16666667,97,360,0
521,8/11/2020,54,16.9375,91,350,0
522,8/11/2020,56,27.83333333,86,530,0
523,8/11/2020,57,13.29166667,77,380,1
524,8/11/2020,69,18.55555556,72,320,1
525,8/11/2020,71,9.708333333,57,270,1
526,8/11/2020,72,23.41666667,67,250,1
527,8/11/2020,73,11.79166667,53,290,1
528,8/11/2020,74,10.0625,56,200,1
529,8/11/2020,75,32.82519965,106,680,2
530,8/11/2020,76,22.47916667,92,390,0
531,15/11/2020,0,19.27083333,96,200,0
532,15/11/2020,1,21.5,118,320,0
533,15/11/2020,2,19.25,80,180,0
534,15/11/2020,3,27.125,91,210,0
535,15/11/2020,4,24.70833333,81,190,0
536,15/11/2020,5,12.25,89,160,0
537,15/11/2020,6,19.0625,105,230,0
538,15/11/2020,7,27.875,115,310,0
539,15/11/2020,9,34.875,112,240,1
540,15/11/2020,10,38.25,108,250,1
541,15/11/2020,13,45,123,290,1
542,15/11/2020,15,37.66666667,133,320,1
543,15/11/2020,19,38.64285714,114,260,1
544,15/11/2020,20,27.375,92,250,0
545,15/11/2020,24,51.82352941,97,340,1
546,15/11/2020,27,30.70833333,100,410,0
547,15/11/2020,33,40.08333333,117,300,1
548,15/11/2020,34,40.39583333,268,960,2
549,15/11/2020,35,41,211,540,1
550,15/11/2020,36,41.125,187,340,1
551,15/11/2020,41,44.13513514,172,390,1
552,15/11/2020,43,61.91666667,458,1990,2
553,15/11/2020,47,44.875,123,280,1
554,15/11/2020,49,37.20833333,124,280,1
555,15/11/2020,52,46.82352941,85,250,1
556,15/11/2020,53,42.20833333,125,320,1
557,15/11/2020,54,30.76760563,119,300,0
558,15/11/2020,56,47.08333333,139,360,1
559,15/11/2020,57,23.625,84,240,0
560,15/11/2020,69,21.16666667,64,280,0
561,15/11/2020,71,7.708333333,72,270,0
562,15/11/2020,72,25,79,320,0
563,15/11/2020,73,23.79166667,88,240,0
564,15/11/2020,74,11.17021277,65,200,0
565,15/11/2020,75,46.37246622,297,1050,2
566,15/11/2020,76,37.25,127,320,1
567,22/11/2020,0,11.77083333,93,360,1
568,22/11/2020,1,19.5,117,540,0
569,22/11/2020,2,17.41666667,54,260,1
570,22/11/2020,3,20.04761905,115,380,0
571,22/11/2020,4,27.18181818,76,290,0
572,22/11/2020,5,11.41666667,46,200,1
573,22/11/2020,6,16.87234043,195,350,0
574,22/11/2020,7,30.04545455,118,510,0
575,22/11/2020,8,18.33333333,90,360,1
576,22/11/2020,9,12.25,51,180,1
577,22/11/2020,10,30.13043478,66,210,0
578,22/11/2020,11,22.13043478,86,320,0
579,22/11/2020,13,24.125,74,300,0
580,22/11/2020,15,14.08333333,70,350,1
581,22/11/2020,19,18.5,57,180,1
582,22/11/2020,20,18.80952381,71,250,1
583,22/11/2020,21,18.35294118,43,140,1
584,22/11/2020,24,45.73684211,52,200,0
585,22/11/2020,27,14.04166667,57,270,1
586,22/11/2020,33,33.83333333,144,690,0
587,22/11/2020,34,17.3030303,13,2230,2
588,22/11/2020,35,21.91666667,22,1240,2
589,22/11/2020,36,19.125,55,650,1
590,22/11/2020,37,39.08333333,125,400,0
591,22/11/2020,38,34.58333333,102,360,0
592,22/11/2020,39,22.13333333,68,220,1
593,22/11/2020,40,34.07142857,105,430,0
594,22/11/2020,41,23.23333333,82,780,0
595,22/11/2020,43,24.95833333,32,810,1
596,22/11/2020,45,25.83333333,130,500,0
597,22/11/2020,47,30.97727273,60,350,0
598,22/11/2020,49,41.95833333,147,690,0
599,22/11/2020,52,30.42105263,20,260,1
600,22/11/2020,53,19.5,56,300,1
601,22/11/2020,54,15.67361111,36,270,1
602,22/11/2020,56,21.875,95,350,0
603,22/11/2020,57,18.41666667,111,460,0
604,22/11/2020,69,11.08333333,36,220,1
605,22/11/2020,71,4.875,38,240,1
606,22/11/2020,72,25.16666667,61,190,1
607,22/11/2020,73,9.217391304,41,210,1
608,22/11/2020,74,3,41,180,1
609,22/11/2020,75,24.8398374,13,2030,2
610,22/11/2020,76,20.36,48,290,1
611,1/12/2020,0,20,78,280,0
612,1/12/2020,1,22.42857143,90,310,0
613,1/12/2020,2,18.64583333,65,240,0
614,1/12/2020,3,29.83333333,75,280,0
615,1/12/2020,4,26.375,83,240,0
616,1/12/2020,5,15.58333333,57,200,0
617,1/12/2020,6,21.33333333,85,250,0
618,1/12/2020,7,32.54166667,75,280,0
619,1/12/2020,8,19.91666667,93,260,0
