,date,province,PM25,O3,CO,cluster
253,2020-08-22,ระนอง,6.25,36,100,Best Air
254,2020-08-22,สตูล,9.541666666666666,110,180,Moderate Air
255,2020-08-22,สงขลา,19.333333333333332,102,160,Moderate Air
256,2020-08-22,สุราษฎร์ธานี,14.541666666666666,34,120,Best Air
257,2020-08-22,ยะลา,14.0625,102,200,Moderate Air
258,2020-08-22,กรุงเทพฯ,16.15605590062112,74,170,Moderate Air
259,2020-08-22,ชลบุรี,13.231884057971014,63,120,Best Air
260,2020-09-01,เชียงราย,13.708333333333334,35,140,Best Air
261,2020-09-01,เชียงใหม่,15.9375,80,220,Worst Air
262,2020-09-01,น่าน,15.175,38,180,Best Air
263,2020-09-01,พะเยา,16.958333333333332,49,170,Best Air
264,2020-09-01,แพร่,18.416666666666668,69,220,Best Air
265,2020-09-01,แม่ฮ่องสอน,5.666666666666667,65,160,Best Air
266,2020-09-01,ลำปาง,13.77659574468085,89,210,Worst Air
267,2020-09-01,ลำพูน,22.541666666666668,83,200,Moderate Air
268,2020-09-01,อุตรดิตถ์,38.0,89,210,Moderate Air
269,2020-09-01,กาฬสินธ์ุ,30.0,84,180,Moderate Air
270,2020-09-01,ขอนแก่น,21.416666666666668,94,210,Worst Air
271,2020-09-01,ชัยภูมิ,26.0,81,180,Moderate Air
272,2020-09-01,นครพนม,17.0,41,120,Best Air
273,2020-09-01,นครราชสีมา,13.875,88,160,Best Air
274,2020-09-01,บุรีรัมย์,25.0,80,170,Moderate Air
275,2020-09-01,ร้อยเอ็ด,36.0,89,200,Moderate Air
276,2020-09-01,เลย,13.958333333333334,79,170,Best Air
277,2020-09-01,สกลนคร,27.0,70,150,Moderate Air
278,2020-09-01,หนองคาย,17.75,82,190,Best Air
279,2020-09-01,อุดรธานี,33.0,86,190,Moderate Air
280,2020-09-01,อุบลราชธานี,9.375,77,140,Best Air
281,2020-09-01,กำแพงเพชร,33.0,91,180,Moderate Air
282,2020-09-01,นครนายก,36.0,68,170,Moderate Air
283,2020-09-01,นครสวรรค์,15.166666666666666,103,250,Worst Air
284,2020-09-01,นนทบุรี,10.020833333333334,74,390,Worst Air
285,2020-09-01,ปทุมธานี,14.0,83,440,Worst Air
286,2020-09-01,พระนครศรีอยุธยา,14.166666666666666,102,290,Worst Air
287,2020-09-01,พิจิตร,20.0,88,140,Moderate Air
288,2020-09-01,พิษณุโลก,35.0,84,190,Moderate Air
289,2020-09-01,เพชรบูรณ์,28.0,58,200,Moderate Air
290,2020-09-01,ลพบุรี,54.0,95,230,Moderate Air
291,2020-09-01,สมุทรปราการ,13.342342342342342,50,230,Best Air
292,2020-09-01,สมุทรสาคร,13.145833333333334,68,160,Best Air
293,2020-09-01,สิงห์บุรี,42.0,80,200,Moderate Air
294,2020-09-01,สุโขทัย,28.0,90,190,Moderate Air
295,2020-09-01,สระบุรี,17.4375,95,280,Worst Air
296,2020-09-01,อุทัยธานี,16.208333333333332,100,270,Worst Air
297,2020-09-01,ตราด,20.375,61,90,Best Air
298,2020-09-01,ปราจีนบุรี,15.333333333333334,60,120,Best Air
299,2020-09-01,ระยอง,10.216666666666667,59,80,Best Air
300,2020-09-01,กาญจนบุรี,12.666666666666666,72,150,Best Air
301,2020-09-01,ตาก,11.708333333333334,80,160,Best Air
302,2020-09-01,ตรัง,11.375,75,110,Best Air
303,2020-09-01,นครศรีธรรมราช,11.205882352941176,67,80,Best Air
304,2020-09-01,ภูเก็ต,13.791666666666666,98,80,Best Air
305,2020-09-01,ระนอง,2.0,42,70,Best Air
306,2020-09-01,สตูล,11.666666666666666,126,200,Worst Air
307,2020-09-01,สงขลา,23.5,75,140,Moderate Air
308,2020-09-01,สุราษฎร์ธานี,11.541666666666666,51,80,Best Air
309,2020-09-01,ยะลา,13.604166666666666,90,210,Worst Air
310,2020-09-01,กรุงเทพฯ,14.145381526104417,69,310,Worst Air
311,2020-09-01,ชลบุรี,15.777777777777779,65,90,Best Air
312,2020-09-08,เชียงราย,8.717391304347826,70,120,Best Air
313,2020-09-08,เชียงใหม่,13.340425531914894,65,170,Best Air
314,2020-09-08,น่าน,8.56,54,120,Best Air
315,2020-09-08,พะเยา,7.208333333333333,70,120,Best Air
316,2020-09-08,แพร่,9.291666666666666,55,120,Best Air
317,2020-09-08,แม่ฮ่องสอน,5.434782608695652,37,80,Best Air
318,2020-09-08,ลำปาง,7.258064516129032,77,130,Best Air
319,2020-09-08,ลำพูน,20.041666666666668,60,130,Best Air
320,2020-09-08,อุตรดิตถ์,26.0,64,130,Best Air
321,2020-09-08,กาฬสินธ์ุ,39.0,108,220,Moderate Air
322,2020-09-08,ขอนแก่น,14.173913043478262,93,160,Worst Air
323,2020-09-08,ชัยภูมิ,14.0,66,120,Best Air
324,2020-09-08,นครพนม,25.0,74,190,Moderate Air
325,2020-09-08,นครราชสีมา,13.666666666666666,80,120,Best Air
326,2020-09-08,บุรีรัมย์,17.0,76,110,Best Air
327,2020-09-08,ร้อยเอ็ด,42.0,105,210,Moderate Air
328,2020-09-08,เลย,8.136363636363637,65,160,Best Air
329,2020-09-08,สกลนคร,28.0,84,200,Moderate Air
330,2020-09-08,หนองคาย,7.3478260869565215,86,200,Worst Air
331,2020-09-08,อุดรธานี,41.0,87,220,Moderate Air
332,2020-09-08,อุบลราชธานี,9.565217391304348,74,170,Best Air
333,2020-09-08,กำแพงเพชร,39.0,74,180,Moderate Air
334,2020-09-08,นครนายก,23.0,74,140,Best Air
335,2020-09-08,นครสวรรค์,7.130434782608695,58,110,Best Air
336,2020-09-08,นนทบุรี,8.617021276595745,86,220,Worst Air
337,2020-09-08,ปทุมธานี,8.478260869565217,92,290,Worst Air
338,2020-09-08,พระนครศรีอยุธยา,5.434782608695652,95,260,Worst Air
339,2020-09-08,พิจิตร,31.0,70,150,Moderate Air
340,2020-09-08,พิษณุโลก,15.0,61,110,Best Air
341,2020-09-08,เพชรบูรณ์,13.0,45,100,Best Air
342,2020-09-08,ลพบุรี,33.0,79,180,Moderate Air
343,2020-09-08,สมุทรปราการ,12.153846153846153,78,110,Best Air
344,2020-09-08,สมุทรสาคร,13.543478260869565,65,90,Best Air
345,2020-09-08,สิงห์บุรี,18.0,58,100,Best Air
346,2020-09-08,สุโขทัย,27.0,70,140,Moderate Air
347,2020-09-08,สระบุรี,11.48936170212766,79,140,Best Air
348,2020-09-08,อุทัยธานี,5.666666666666667,53,110,Best Air
349,2020-09-08,ตราด,16.90909090909091,60,70,Best Air
350,2020-09-08,ปราจีนบุรี,11.478260869565217,78,120,Best Air
351,2020-09-08,ระยอง,8.17094017094017,70,80,Best Air
