,date,provinceNo,PM25
666,20211201,44,72
667,20211201,31,56
668,20211201,37,71
669,20211201,11,102
670,20211208,70,47
671,20211208,44,60
672,20211208,31,47
673,20211208,11,72
674,20211215,70,83
675,20211215,44,48
676,20211215,31,39
677,20211215,11,42
678,20211222,70,77
679,20211222,44,74
680,20211222,31,57
681,20211222,9,27
682,20211222,11,41
683,20220101,70,28
684,20220101,31,26
685,20220101,9,40
686,20220101,11,53
687,20220108,70,21
688,20220108,31,17
689,20220108,11,22
690,20220115,70,15
691,20220115,31,24
692,20220122,70,7
693,20220122,8,35
