,date,provinceNo,co
524,20201208,6.0,310
525,20201208,4.0,310
526,20201208,8.0,350
527,20201208,45.0,410
528,20201208,57.0,420
529,20201208,38.0,420
530,20201208,29.0,460
531,20201208,37.0,430
532,20201208,39.0,310
533,20201208,33.0,500
534,20201208,49.0,420
535,20201208,24.0,340
536,20201208,20.0,350
537,20201208,26.0,430
538,20201208,12.0,380
539,20201208,21.0,470
540,20201208,10.0,390
541,20201208,9.0,340
542,20201208,19.0,340
543,20201208,11.0,400
544,20201208,27.0,400
545,20201208,15.0,340
546,20201208,13.0,380
547,20201208,76.0,390
548,20201208,54.0,380
549,20201208,52.0,360
550,20201215,74.0,240
551,20201215,71.0,260
552,20201215,72.0,220
553,20201215,63.0,200
554,20201215,64.0,200
555,20201215,69.0,240
556,20201215,73.0,310
557,20201215,70.0,320
558,20201215,56.0,480
559,20201215,75.0,590
560,20201215,41.0,470
561,20201215,34.0,620
562,20201215,35.0,420
563,20201215,36.0,360
564,20201215,47.0,270
565,20201215,40.0,280
566,20201215,44.0,280
567,20201215,53.0,290
568,20201215,31.0,260
569,20201215,0.0,400
570,20201215,5.0,290
571,20201215,3.0,270
572,20201215,2.0,350
573,20201215,1.0,490
574,20201215,7.0,300
575,20201215,6.0,320
576,20201215,4.0,270
577,20201215,8.0,290
578,20201215,45.0,450
579,20201215,57.0,310
580,20201215,38.0,340
581,20201215,29.0,440
582,20201215,37.0,360
583,20201215,39.0,290
584,20201215,33.0,290
585,20201215,49.0,300
586,20201215,24.0,510
587,20201215,20.0,500
588,20201215,26.0,580
589,20201215,12.0,570
590,20201215,21.0,620
591,20201215,10.0,580
592,20201215,9.0,600
593,20201215,19.0,600
594,20201215,11.0,470
595,20201215,27.0,270
596,20201215,15.0,330
597,20201215,13.0,270
598,20201215,76.0,420
599,20201215,54.0,440
600,20201215,52.0,300
601,20201222,74.0,340
602,20201222,71.0,360
603,20201222,72.0,340
604,20201222,63.0,340
605,20201222,64.0,360
606,20201222,69.0,360
607,20201222,73.0,360
608,20201222,70.0,500
609,20201222,56.0,380
610,20201222,41.0,510
611,20201222,35.0,640
612,20201222,36.0,350
613,20201222,47.0,320
614,20201222,40.0,380
615,20201222,44.0,400
616,20201222,53.0,320
617,20201222,31.0,320
618,20201222,0.0,310
619,20201222,5.0,240
620,20201222,3.0,330
621,20201222,2.0,300
622,20201222,1.0,380
623,20201222,7.0,340
624,20201222,6.0,300
625,20201222,4.0,300
626,20201222,8.0,310
627,20201222,45.0,380
628,20201222,57.0,290
629,20201222,38.0,380
630,20201222,29.0,350
631,20201222,37.0,490
632,20201222,39.0,260
633,20201222,33.0,480
634,20201222,49.0,400
635,20201222,24.0,350
636,20201222,20.0,350
637,20201222,26.0,350
638,20201222,12.0,420
639,20201222,21.0,420
640,20201222,10.0,380
641,20201222,9.0,380
642,20201222,19.0,400
643,20201222,11.0,350
644,20201222,27.0,360
645,20201222,15.0,400
646,20201222,13.0,410
647,20201222,76.0,260
648,20201222,54.0,310
649,20201222,52.0,340
650,20210101,74.0,570
651,20210101,71.0,480
652,20210101,72.0,370
653,20210101,63.0,510
654,20210101,64.0,520
655,20210101,69.0,540
656,20210101,73.0,440
657,20210101,70.0,380
658,20210101,56.0,380
659,20210101,41.0,410
660,20210101,35.0,700
661,20210101,36.0,390
662,20210101,47.0,310
663,20210101,40.0,350
664,20210101,44.0,320
665,20210101,53.0,320
666,20210101,31.0,330
667,20210101,0.0,430
668,20210101,5.0,550
669,20210101,3.0,430
670,20210101,2.0,370
671,20210101,1.0,570
672,20210101,7.0,410
673,20210101,6.0,400
674,20210101,4.0,360
675,20210101,8.0,380
676,20210101,45.0,440
677,20210101,57.0,510
678,20210101,38.0,410
679,20210101,29.0,490
680,20210101,37.0,510
681,20210101,39.0,310
682,20210101,33.0,390
683,20210101,49.0,350
684,20210101,24.0,300
685,20210101,20.0,350
686,20210101,26.0,300
687,20210101,12.0,320
688,20210101,21.0,330
689,20210101,10.0,320
690,20210101,9.0,300
691,20210101,19.0,320
692,20210101,11.0,380
693,20210101,27.0,340
694,20210101,15.0,330
695,20210101,13.0,320
696,20210101,76.0,350
